統計年,區域別,年底人口數,土地面積,人口密度,年度人口數
106,臺中市太平區,189066,120.7473,1566,189066
106,臺中市大里區,211492,28.8758,7324,211492
106,臺中市和平區,10949,1037.8192,11,10949
106,臺南市新營區,77966,38.5386,2023,77966
106,臺南市鹽水區,25583,52.2455,490,25583
106,臺南市白河區,28520,126.4046,226,28520
106,臺南市柳營區,21365,61.2929,349,21365
106,臺南市後壁區,23718,72.2189,328,23718
106,臺南市東山區,21049,124.9178,169,21049
106,臺南市麻豆區,44603,53.9744,826,44603
106,臺南市下營區,24239,33.5291,723,24239
106,臺南市六甲區,22275,67.5471,330,22275
106,臺南市官田區,21448,70.7953,303,21448
106,臺南市大內區,9761,70.3125,139,9761
106,臺南市佳里區,59380,38.9422,1525,59380
106,臺南市學甲區,26078,53.9919,483,26078
106,臺南市西港區,24758,33.7666,733,24758
106,臺南市七股區,22974,110.1492,209,22974
106,臺南市將軍區,19849,41.9796,473,19849
106,臺南市北門區,11188,44.1003,254,11188
106,臺南市新化區,43630,62.0579,703,43630
106,臺南市善化區,48386,55.3097,875,48386
106,臺南市新市區,36574,47.8096,765,36574
106,臺南市安定區,30564,31.27,977,30564
106,臺南市山上區,7314,27.878,262,7314
106,臺南市玉井區,14151,76.3662,185,14151
106,臺南市楠西區,9717,109.6316,89,9717
106,臺南市南化區,8787,171.5198,51,8787
106,臺南市左鎮區,4876,74.9025,65,4876
106,臺南市仁德區,75518,50.7664,1488,75518
106,臺南市歸仁區,68424,55.7913,1226,68424
106,臺南市關廟區,34433,53.6413,642,34433
106,臺南市龍崎區,4038,64.0814,63,4038
106,臺南市永康區,233905,40.2753,5808,233905
106,臺南市東區,186841,13.4156,13927,186841
106,臺南市南區,125394,27.2681,4599,125394
106,臺南市北區,132726,10.434,12721,132726
106,臺南市安南區,192224,107.2016,1793,192224
106,臺南市安平區,66496,11.0663,6009,66496
106,臺南市中西區,77770,6.26,12423,77770
106,高雄市鹽埕區,24219,1.4161,17103,24219
106,高雄市鼓山區,139259,14.7523,9440,139259
106,高雄市左營區,197072,19.3823,10168,197072
106,高雄市楠梓區,183751,25.8276,7115,183751
106,高雄市三民區,343243,19.7866,17347,343243
106,高雄市新興區,51153,1.9764,25882,51153
106,高雄市前金區,26991,1.8573,14532,26991
106,高雄市苓雅區,171033,8.1522,20980,171033
106,高雄市前鎮區,189839,19.1207,9928,189839
106,高雄市旗津區,28763,1.4639,19648,28763
106,高雄市小港區,157475,45.4426,3465,157475
106,高雄市鳳山區,359120,26.759,13421,359120
106,高雄市林園區,69990,32.286,2168,69990
106,高雄市大寮區,112397,71.04,1582,112397
106,高雄市大樹區,42757,66.9811,638,42757
106,高雄市大社區,34577,26.5848,1301,34577
106,高雄市仁武區,85894,36.0808,2381,85894
106,高雄市鳥松區,44291,24.5927,1801,44291
106,高雄市岡山區,97329,47.9421,2030,97329
106,高雄市橋頭區,37579,25.9379,1449,37579
106,高雄市燕巢區,29922,65.395,458,29922
106,高雄市田寮區,7245,92.6802,78,7245
106,高雄市阿蓮區,28844,34.6164,833,28844
106,高雄市路竹區,52761,48.4348,1089,52761
106,高雄市湖內區,29803,20.1615,1478,29803
106,高雄市茄萣區,30217,15.7624,1917,30217
106,高雄市永安區,13980,22.6141,618,13980
106,高雄市彌陀區,19383,14.7772,1312,19383
106,高雄市梓官區,36116,11.5967,3114,36116
106,高雄市旗山區,36940,94.6122,390,36940
106,高雄市美濃區,39973,120.0316,333,39973
106,高雄市六龜區,13016,194.1584,67,13016
106,高雄市甲仙區,6107,124.034,49,6107
106,高雄市杉林區,12038,104.0036,116,12038
106,高雄市內門區,14540,95.6224,152,14540
106,高雄市茂林區,1924,194.0,10,1924
106,高雄市桃源區,4246,928.98,5,4246
106,高雄市那瑪夏區,3125,252.9895,12,3125
106,宜蘭縣宜蘭市,95918,29.408,3262,95918
106,宜蘭縣羅東鎮,72319,11.3448,6375,72319
106,宜蘭縣蘇澳鎮,40056,89.0196,450,40056
106,宜蘭縣頭城鎮,29398,100.893,291,29398
106,宜蘭縣礁溪鄉,35777,101.4278,353,35777
106,宜蘭縣壯圍鄉,24250,38.4769,630,24250
106,宜蘭縣員山鄉,32458,111.9106,290,32458
106,宜蘭縣冬山鄉,53289,79.8573,667,53289
106,宜蘭縣五結鄉,39673,38.8671,1021,39673
106,宜蘭縣三星鄉,21467,144.2238,149,21467
106,宜蘭縣大同鄉,6102,657.5442,9,6102
106,宜蘭縣南澳鄉,5900,740.652,8,5900
106,新竹縣竹北市,181955,46.8341,3885,181955
106,新竹縣關西鎮,28896,125.5193,230,28896
106,新竹縣新埔鎮,33415,72.1911,463,33415
106,新竹縣竹東鎮,96918,53.5133,1811,96918
106,新竹縣湖口鄉,77444,58.4303,1325,77444
106,新竹縣橫山鄉,13064,66.3502,197,13064
106,新竹縣新豐鄉,56836,46.3496,1226,56836
106,新竹縣芎林鄉,20061,40.7858,492,20061
106,新竹縣寶山鄉,14550,64.7871,225,14550
106,新竹縣北埔鄉,9390,50.6676,185,9390
106,新竹縣峨眉鄉,5538,46.801,118,5538
106,新竹縣尖石鄉,9543,527.5795,18,9543
106,新竹縣五峰鄉,4559,227.728,20,4559
106,苗栗縣苗栗市,89165,37.8878,2353,89165
106,苗栗縣頭份市,103147,53.3205,1934,103147
106,苗栗縣苑裡鎮,45976,68.2473,674,45976
106,苗栗縣通霄鎮,34691,107.8486,322,34691
106,苗栗縣竹南鎮,85587,37.5592,2279,85587
106,苗栗縣後龍鎮,36750,75.8079,485,36750
106,苗栗縣卓蘭鎮,17134,76.3153,225,17134
106,苗栗縣大湖鄉,14738,90.8396,162,14738
106,苗栗縣公館鄉,33773,71.4523,473,33773
106,苗栗縣銅鑼鄉,18138,78.3805,231,18138
106,苗栗縣南庄鄉,10176,165.4938,61,10176
106,苗栗縣頭屋鄉,10840,52.5046,206,10840
106,苗栗縣三義鄉,16530,69.3424,238,16530
106,苗栗縣西湖鄉,7154,41.0758,174,7154
106,苗栗縣造橋鄉,12952,47.9978,270,12952
106,苗栗縣三灣鄉,6756,52.2964,129,6756
106,苗栗縣獅潭鄉,4417,79.4324,56,4417
106,苗栗縣泰安鄉,5883,614.5127,10,5883
106,彰化縣彰化市,233613,65.6947,3556,233613
106,彰化縣員林市,124632,40.038,3113,124632
106,彰化縣鹿港鎮,86799,39.4625,2200,86799
106,彰化縣和美鎮,90986,39.9345,2278,90986
106,彰化縣北斗鎮,33355,19.2547,1732,33355
106,彰化縣溪湖鎮,55686,32.0592,1737,55686
106,彰化縣田中鎮,41890,34.6056,1210,41890
106,彰化縣二林鎮,50980,92.8478,549,50980
106,彰化縣線西鄉,16928,18.0856,936,16928
106,彰化縣伸港鄉,36957,22.3268,1655,36957
106,彰化縣福興鄉,47332,49.8934,949,47332
106,彰化縣秀水鄉,39357,29.3447,1341,39357
106,彰化縣花壇鄉,45924,36.3469,1263,45924
106,彰化縣芬園鄉,23755,38.0204,625,23755
106,彰化縣大村鄉,36870,30.7837,1198,36870
106,彰化縣埔鹽鄉,32587,38.6081,844,32587
106,彰化縣埔心鄉,34836,20.9526,1663,34836
106,彰化縣永靖鄉,37334,20.6382,1809,37334
106,彰化縣社頭鄉,43144,36.1449,1194,43144
106,彰化縣二水鄉,15325,29.4449,520,15325
106,彰化縣田尾鄉,27462,24.0375,1142,27462
106,彰化縣埤頭鄉,30642,42.7508,717,30642
106,彰化縣芳苑鄉,33714,91.3827,369,33714
106,彰化縣大城鄉,16987,63.7406,267,16987
106,彰化縣竹塘鄉,15303,42.1662,363,15303
106,彰化縣溪州鄉,30060,75.831,396,30060
106,南投縣南投市,100180,71.6021,1399,100180
106,南投縣埔里鎮,81033,162.2227,500,81033
106,南投縣草屯鎮,97875,104.0327,941,97875
106,南投縣竹山鎮,55060,247.3339,223,55060
106,南投縣集集鎮,10904,49.7268,219,10904
106,南投縣名間鄉,38796,83.0955,467,38796
106,南投縣鹿谷鄉,17808,141.8981,125,17808
106,南投縣中寮鄉,14842,146.6541,101,14842
106,南投縣魚池鄉,15946,121.3735,131,15946
106,南投縣國姓鄉,18803,175.7042,107,18803
106,南投縣水里鄉,17803,106.8424,167,17803
106,南投縣信義鄉,16253,1422.4188,11,16253
106,南投縣仁愛鄉,15748,1273.5312,12,15748
106,雲林縣斗六市,108567,93.7151,1158,108567
106,雲林縣斗南鎮,44941,48.1505,933,44941
106,雲林縣虎尾鎮,70892,68.742,1031,70892
106,雲林縣西螺鎮,46244,49.7985,929,46244
106,雲林縣土庫鎮,28932,49.0212,590,28932
106,雲林縣北港鎮,40278,41.4999,971,40278
106,雲林縣古坑鄉,31708,166.6059,190,31708
106,雲林縣大埤鄉,19263,44.9973,428,19263
106,雲林縣莿桐鄉,28939,50.8502,569,28939
106,雲林縣林內鄉,18230,37.6035,485,18230
106,雲林縣二崙鄉,27255,59.5625,458,27255
106,雲林縣崙背鄉,24678,58.484,422,24678
106,雲林縣麥寮鄉,45665,80.1668,570,45665
106,雲林縣東勢鄉,14893,48.3562,308,14893
106,雲林縣褒忠鄉,13010,37.0552,351,13010
106,雲林縣臺西鄉,23954,54.0983,443,23954
106,雲林縣元長鄉,25980,71.5872,363,25980
106,雲林縣四湖鄉,23667,77.1189,307,23667
106,雲林縣口湖鄉,27653,80.4612,344,27653
106,雲林縣水林鄉,25624,72.9582,351,25624
106,嘉義縣太保市,37781,66.8964,565,37781
106,嘉義縣朴子市,42382,49.5737,855,42382
106,嘉義縣布袋鎮,27143,61.7307,440,27143
106,嘉義縣大林鎮,31198,64.1663,486,31198
106,嘉義縣民雄鄉,71693,85.4969,839,71693
106,嘉義縣溪口鄉,14751,33.0463,446,14751
106,嘉義縣新港鄉,31935,66.0495,484,31935
106,嘉義縣六腳鄉,23318,62.2619,375,23318
106,嘉義縣東石鄉,24969,81.5821,306,24969
106,嘉義縣義竹鄉,18486,79.2925,233,18486
106,嘉義縣鹿草鄉,15577,54.3151,287,15577
106,嘉義縣水上鄉,49744,69.1198,720,49744
106,嘉義縣中埔鄉,44974,129.5016,347,44974
106,嘉義縣竹崎鄉,35962,162.2256,222,35962
106,嘉義縣梅山鄉,19475,119.7571,163,19475
106,嘉義縣番路鄉,11599,117.5269,99,11599
106,嘉義縣大埔鄉,4564,173.2472,26,4564
106,嘉義縣阿里山鄉,5631,427.8471,13,5631
106,屏東縣屏東市,200452,65.067,3081,200452
106,屏東縣潮州鎮,54377,42.4331,1281,54377
106,屏東縣東港鎮,47866,29.4635,1625,47866
106,屏東縣恆春鎮,30726,136.763,225,30726
106,屏東縣萬丹鄉,50935,57.4679,886,50935
106,屏東縣長治鄉,30008,39.8861,752,30008
106,屏東縣麟洛鄉,11076,16.26,681,11076
106,屏東縣九如鄉,22110,42.0187,526,22110
106,屏東縣里港鄉,26459,68.9208,384,26459
106,屏東縣鹽埔鄉,25997,64.3493,404,25997
106,屏東縣高樹鄉,24622,90.1522,273,24622
106,屏東縣萬巒鄉,20556,60.7315,338,20556
106,屏東縣內埔鄉,54707,81.8554,668,54707
106,屏東縣竹田鄉,17158,29.0732,590,17158
106,屏東縣新埤鄉,9936,59.0102,168,9936
106,屏東縣枋寮鄉,24571,57.7347,426,24571
106,屏東縣新園鄉,35321,38.3109,922,35321
106,屏東縣崁頂鄉,15720,31.2659,503,15720
106,屏東縣林邊鄉,18080,15.6233,1157,18080
106,屏東縣南州鄉,10670,18.97,562,10670
106,屏東縣佳冬鄉,19380,30.9842,625,19380
106,屏東縣琉球鄉,12337,6.8018,1814,12337
106,屏東縣車城鄉,8586,49.8517,172,8586
106,屏東縣滿州鄉,7840,142.2013,55,7840
106,屏東縣枋山鄉,5478,17.2697,317,5478
106,屏東縣三地門鄉,7644,196.3965,39,7644
106,屏東縣霧臺鄉,3246,278.796,12,3246
106,屏東縣瑪家鄉,6746,78.7008,86,6746
106,屏東縣泰武鄉,5271,118.6266,44,5271
106,屏東縣來義鄉,7465,167.7756,44,7465
106,屏東縣春日鄉,4867,160.001,30,4867
106,屏東縣獅子鄉,4806,301.0018,16,4806
106,屏東縣牡丹鄉,4926,181.8366,27,4926
106,臺東縣臺東市,105960,109.7691,965,105960
106,臺東縣成功鎮,14238,143.9939,99,14238
106,臺東縣關山鎮,8742,58.7351,149,8742
106,臺東縣卑南鄉,17399,412.6871,42,17399
106,臺東縣大武鄉,6117,69.1454,88,6117
106,臺東縣太麻里鄉,11163,96.6523,115,11163
106,臺東縣東河鄉,8517,210.1908,41,8517
106,臺東縣長濱鄉,7260,155.1868,47,7260
106,臺東縣鹿野鄉,7951,89.698,89,7951
106,臺東縣池上鄉,8248,82.6854,100,8248
106,臺東縣綠島鄉,3926,15.0919,260,3926
106,臺東縣延平鄉,3551,455.8805,8,3551
106,臺東縣海端鄉,4222,880.0382,5,4222
106,臺東縣達仁鄉,3518,306.4454,11,3518
106,臺東縣金峰鄉,3653,380.6635,10,3653
106,臺東縣蘭嶼鄉,5075,48.3892,105,5075
106,花蓮縣花蓮市,104380,29.4095,3549,104380
106,花蓮縣鳳林鎮,10861,120.5181,90,10861
106,花蓮縣玉里鎮,24345,252.3719,96,24345
106,花蓮縣新城鄉,20185,29.4095,686,20185
106,花蓮縣吉安鄉,83747,65.2582,1283,83747
106,花蓮縣壽豐鄉,18043,218.4448,83,18043
106,花蓮縣光復鄉,12888,157.11,82,12888
106,花蓮縣豐濱鄉,4383,162.4332,27,4383
106,花蓮縣瑞穗鄉,11653,135.5862,86,11653
106,花蓮縣富里鄉,10413,176.3705,59,10413
106,花蓮縣秀林鄉,15889,1641.8555,10,15889
106,花蓮縣萬榮鄉,6384,618.491,10,6384
106,花蓮縣卓溪鄉,6066,1021.313,6,6066
106,澎湖縣馬公市,62308,33.9918,1833,62308
106,澎湖縣湖西鄉,14508,33.3008,436,14508
106,澎湖縣白沙鄉,9817,20.0875,489,9817
106,澎湖縣西嶼鄉,8408,18.7148,449,8408
106,澎湖縣望安鄉,5176,13.7824,376,5176
106,澎湖縣七美鄉,3856,6.9868,552,3856
106,基隆市中正區,52163,10.2118,5108,52163
106,基隆市七堵區,53972,56.2659,959,53972
106,基隆市暖暖區,38708,22.8283,1696,38708
106,基隆市仁愛區,44314,4.2335,10467,44314
106,基隆市中山區,47908,10.5238,4552,47908
106,基隆市安樂區,82358,18.025,4569,82358
106,基隆市信義區,52035,10.6706,4876,52035
106,新竹市東區,212553,33.5768,6330,212553
106,新竹市北區,150636,15.7267,9578,150636
106,新竹市香山區,77943,54.8491,1421,77943
106,嘉義市東區,122103,30.1556,4049,122103
106,嘉義市西區,147295,29.87,4931,147295
106,金門縣金城鎮,43285,21.713,1994,43285
106,金門縣金湖鎮,29413,41.696,705,29413
106,金門縣金沙鎮,20535,41.19,499,20535
106,金門縣金寧鄉,30838,29.854,1033,30838
106,金門縣烈嶼鄉,12700,16.003,794,12700
106,金門縣烏坵鄉,685,1.2,571,685
106,連江縣南竿鄉,7544,10.4,725,7544
106,連江縣北竿鄉,2360,9.9,238,2360
106,連江縣莒光鄉,1624,4.7,346,1624
106,連江縣東引鄉,1352,3.8,356,1352
106,東沙群島,0,2.38,0,0
106,南沙群島,0,0.5045,0,0
