sitename,county,aqi,status,pm2.5,datacreationdate,longitude,latitude
屏東（琉球）,屏東縣,79,細懸浮微粒,普通,2.4,0.34,65.8
臺南（麻豆）,臺南市,32,,良好,1.2,0.25,52
高雄（湖內）,高雄市,60,細懸浮微粒,普通,2.1,0.35,63
彰化（員林）,彰化縣,30,,良好,1.5,0.28,51.3
大城,彰化縣,44,,良好,0.9,0.18,61.3
富貴角,新北市,46,,良好,0.4,0.15,54.3
麥寮,雲林縣,42,,良好,1.8,0.23,59.1
關山,臺東縣,33,,良好,1.5,0.19,39.8
馬公,澎湖縣,41,,良好,1.7,0.19,51.8
金門,金門縣,57,細懸浮微粒,普通,0.8,0.29,50.5
馬祖,連江縣,57,細懸浮微粒,普通,0.9,0.28,52.1
埔里,南投縣,46,,良好,1,0.22,38.1
復興,高雄市,78,細懸浮微粒,普通,1.8,0.32,61.4
永和,新北市,32,,良好,1.8,0.33,35.4
竹山,南投縣,39,,良好,1.3,0.27,56.2
中壢,桃園市,43,,良好,1,0.55,27
三重,新北市,50,,良好,0.7,0.81,18.5
冬山,宜蘭縣,31,,良好,0.7,0.18,38.1
宜蘭,宜蘭縣,31,,良好,1,0.21,37.1
陽明,臺北市,42,,良好,0.5,0.2,48.7
花蓮,花蓮縣,36,,良好,1.1,0.24,44.1
臺東,臺東縣,35,,良好,0.9,0.2,45.8
恆春,屏東縣,41,,良好,0.4,0.24,48.4
潮州,屏東縣,79,細懸浮微粒,普通,2,0.33,75.7
屏東,屏東縣,96,細懸浮微粒,普通,3.9,0.62,
小港,高雄市,76,細懸浮微粒,普通,2.5,0.35,64.7
前鎮,高雄市,72,細懸浮微粒,普通,2.6,0.35,63.6
前金,高雄市,64,細懸浮微粒,普通,0.8,0.34,68.5
左營,高雄市,72,細懸浮微粒,普通,2.1,0.36,74.8
楠梓,高雄市,69,細懸浮微粒,普通,,0.41,70.2
林園,高雄市,83,細懸浮微粒,普通,,0.37,81.7
大寮,高雄市,76,細懸浮微粒,普通,3.1,0.5,65.9
鳳山,高雄市,81,細懸浮微粒,普通,2.9,0.54,65.1
仁武,高雄市,80,細懸浮微粒,普通,1.6,0.41,69.1
橋頭,高雄市,84,細懸浮微粒,普通,2.4,0.37,71.4
美濃,高雄市,52,細懸浮微粒,普通,2.2,0.4,58.7
臺南,臺南市,52,細懸浮微粒,普通,1.6,0.33,
安南,臺南市,41,,良好,1.4,0.29,61.5
善化,臺南市,47,,良好,1.4,0.26,60
新營,臺南市,41,,良好,1.3,0.29,56.3
嘉義,嘉義市,40,,良好,3.4,0.32,50.9
臺西,雲林縣,41,,良好,1.7,0.21,59.1
朴子,嘉義縣,37,,良好,1.9,0.28,57.8
新港,嘉義縣,36,,良好,2.2,0.28,56.5
崙背,雲林縣,50,,良好,2.1,0.29,50.9
斗六,雲林縣,37,,良好,1.3,0.28,58.5
南投,南投縣,26,,良好,1.6,0.28,51.8
二林,彰化縣,35,,良好,3.1,0.32,49.4
線西,彰化縣,36,,良好,3.5,0.44,49.9
彰化,彰化縣,30,,良好,0.5,0.24,43
西屯,臺中市,33,,良好,1,0.21,45.7
忠明,臺中市,28,,良好,1.3,0.26,39.4
大里,臺中市,25,,良好,1.4,0.29,38.2
沙鹿,臺中市,36,,良好,1,0.22,51.4
豐原,臺中市,28,,良好,1.5,0.21,39.4
三義,苗栗縣,34,,良好,1,0.19,43.6
苗栗,苗栗縣,33,,良好,1.5,0.21,
頭份,苗栗縣,36,,良好,0.9,0.22,47.7
新竹,新竹市,33,,良好,2.1,0.24,44.7
竹東,新竹縣,36,,良好,0,0.18,43.1
湖口,新竹縣,31,,良好,1.1,0.21,41.7
龍潭,桃園市,33,,良好,0.9,0.22,41.1
